continent,location,date,population,Sum_vaccination,Percent_vaccination_population
North America,Mexico,4/24/2021,"128,932,753","16,214,484",12.5759232
Europe,Russia,4/18/2021,"145,934,460","16,167,151",11.07836422
Asia,Turkey,4/1/2021,"84,339,067","16,148,683",19.14733418
Europe,United Kingdom,2/15/2021,"67,886,004","16,122,272",23.74903669
Europe,Italy,4/20/2021,"60,461,828","16,022,460",26.500125
Asia,Indonesia,4/14/2021,"273,523,621","16,008,243",5.852599838
South America,Brazil,3/24/2021,"212,559,409","15,943,964",7.50094483
Europe,France,4/14/2021,"68,147,687","15,894,466",23.32355902
North America,Mexico,4/23/2021,"128,932,753","15,874,809",12.31247191
Europe,Spain,4/28/2021,"46,754,783","15,859,772",33.92117551
Europe,United Kingdom,2/14/2021,"67,886,004","15,839,781",23.33291116
Asia,Turkey,3/31/2021,"84,339,067","15,834,787",18.77515079
Asia,Indonesia,4/13/2021,"273,523,621","15,811,449",5.780652121
Europe,Germany,4/6/2021,"83,783,945","15,766,312",18.81782005
North America,United States,1/19/2021,"331,002,647","15,707,588",4.745456915
Europe,Russia,4/17/2021,"145,934,460","15,700,803",10.75880433
Europe,Italy,4/19/2021,"60,461,828","15,691,474",25.95269531
Asia,India,3/2/2021,"1,380,004,385","15,620,749",1.131934737
Asia,Indonesia,4/12/2021,"273,523,621","15,602,574",5.704287602
Europe,United Kingdom,2/13/2021,"67,886,004","15,599,904",22.9795585
North America,Mexico,4/22/2021,"128,932,753","15,477,517",12.00433299
Europe,France,4/13/2021,"68,147,687","15,471,282",22.7025783
Europe,Russia,4/16/2021,"145,934,460","15,469,617",10.60038664
Europe,Germany,4/5/2021,"83,783,945","15,388,458",18.36683388
Europe,Italy,4/18/2021,"60,461,828","15,383,177",25.44279177
Europe,Spain,4/27/2021,"46,754,783","15,377,862",32.89045743
Asia,Turkey,3/30/2021,"84,339,067","15,301,462",18.14279259
South America,Brazil,3/23/2021,"212,559,409","15,209,201",7.155270647
Europe,Russia,4/15/2021,"145,934,460","15,164,099",10.39103376
Europe,Italy,4/17/2021,"60,461,828","15,142,514",25.04475055
Europe,Germany,4/4/2021,"83,783,945","15,139,067",18.06917423
Europe,United Kingdom,2/12/2021,"67,886,004","15,091,696",22.2309388
Asia,Indonesia,4/10/2021,"273,523,621","15,081,949",5.51394755
Europe,France,4/12/2021,"68,147,687","15,029,040",22.05363184
North America,Mexico,4/21/2021,"128,932,753","15,003,610",11.63677161
Asia,China,1/20/2021,"1,439,323,774","15,000,000",1.042156065
Europe,Spain,4/26/2021,"46,754,783","14,994,667",32.07087283
Europe,Russia,4/14/2021,"145,934,460","14,967,802",10.25652337
Asia,Turkey,3/29/2021,"84,339,067","14,949,260",17.72519015
Europe,Germany,4/3/2021,"83,783,945","14,943,017",17.83517952
Asia,India,3/1/2021,"1,380,004,385","14,854,136",1.076383246
Europe,Italy,4/16/2021,"60,461,828","14,787,694",24.45790094
South America,Chile,4/29/2021,"19,116,209","14,767,327",77.25029058
Europe,Spain,4/25/2021,"46,754,783","14,715,931",31.47470709
Europe,Germany,4/2/2021,"83,783,945","14,711,371",17.55869934
Europe,France,4/11/2021,"68,147,687","14,684,258",21.54769831
Asia,Turkey,3/27/2021,"84,339,067","14,652,659",17.37351327
South America,Chile,4/28/2021,"19,116,209","14,625,915",76.51054139
Europe,France,4/10/2021,"68,147,687","14,596,125",21.41837184
Europe,Russia,4/13/2021,"145,934,460","14,583,881",9.993445688
North America,Mexico,4/20/2021,"128,932,753","14,571,509",11.30163489
Europe,United Kingdom,2/11/2021,"67,886,004","14,542,318",21.42167331
Asia,Turkey,3/26/2021,"84,339,067","14,491,247",17.18212866
Europe,Germany,4/1/2021,"83,783,945","14,481,802",17.28469816
South America,Chile,4/27/2021,"19,116,209","14,462,652",75.65648607
Europe,Italy,4/15/2021,"60,461,828","14,411,168",23.835151
North America,Mexico,4/19/2021,"128,932,753","14,368,074",11.14385109
Europe,France,4/9/2021,"68,147,687","14,305,420",20.99179096
Asia,India,2/28/2021,"1,380,004,385","14,301,266",1.03632033
South America,Chile,4/26/2021,"19,116,209","14,292,947",74.7687316
Europe,Russia,4/12/2021,"145,934,460","14,269,543",9.778048995
Europe,Spain,4/23/2021,"46,754,783","14,266,251",30.51292314
Asia,India,2/27/2021,"1,380,004,385","14,242,547",1.032065344
North America,Mexico,4/18/2021,"128,932,753","14,240,830",11.04516088
Asia,Turkey,3/25/2021,"84,339,067","14,227,410",16.86929973
Europe,Germany,3/31/2021,"83,783,945","14,159,941",16.90054222
South America,Brazil,3/22/2021,"212,559,409","14,116,560",6.641230358
Europe,Russia,4/11/2021,"145,934,460","14,108,341",9.66758708
South America,Chile,4/25/2021,"19,116,209","14,097,797",73.7478702
South America,Chile,4/24/2021,"19,116,209","14,096,765",73.74247164
South America,Chile,4/23/2021,"19,116,209","14,079,218",73.65068043
Asia,Indonesia,4/8/2021,"273,523,621","14,071,485",5.144522783
Europe,Italy,4/14/2021,"60,461,828","14,063,195",23.25962589
Europe,United Kingdom,2/10/2021,"67,886,004","14,033,555",20.67223606
North America,Mexico,4/17/2021,"128,932,753","13,978,181",10.84145081
Europe,Russia,4/10/2021,"145,934,460","13,977,397",9.577859129
Asia,Turkey,3/24/2021,"84,339,067","13,969,867",16.56393353
Europe,Spain,4/22/2021,"46,754,783","13,909,964",29.75088987
South America,Chile,4/22/2021,"19,116,209","13,896,917",72.69703423
Europe,Germany,3/30/2021,"83,783,945","13,819,460",16.49416246
Europe,France,4/8/2021,"68,147,687","13,790,345",20.23596927
Asia,India,2/26/2021,"1,380,004,385","13,756,940",0.996876543
Europe,Italy,4/13/2021,"60,461,828","13,745,233",22.73373706
South America,Chile,4/21/2021,"19,116,209","13,698,488",71.65901984
Europe,Russia,4/9/2021,"145,934,460","13,628,879",9.339040964
Asia,Turkey,3/23/2021,"84,339,067","13,589,167",16.1125413
Europe,United Kingdom,2/9/2021,"67,886,004","13,577,851",20.00095778
South America,Brazil,3/21/2021,"212,559,409","13,562,176",6.380416686
South America,Chile,4/20/2021,"19,116,209","13,523,111",70.74159421
Europe,Spain,4/21/2021,"46,754,783","13,497,809",28.86936509
Europe,Germany,3/29/2021,"83,783,945","13,492,247",16.10361866
South America,Brazil,3/20/2021,"212,559,409","13,479,165",6.341363604
Europe,Italy,4/12/2021,"60,461,828","13,458,816",22.26002165
Asia,Indonesia,4/6/2021,"273,523,621","13,452,610",4.918262617
North America,Mexico,4/16/2021,"128,932,753","13,421,708",10.40985141
North America,Canada,4/30/2021,"37,742,157","13,420,148",35.5574484
Europe,Russia,4/8/2021,"145,934,460","13,354,502",9.151027112
Europe,France,4/7/2021,"68,147,687","13,340,719",19.57618752
South America,Chile,4/19/2021,"19,116,209","13,337,668",69.77151171
South America,Brazil,3/19/2021,"212,559,409","13,335,728",6.273882705
Asia,Turkey,3/22/2021,"84,339,067","13,265,952",15.72930846
Europe,Italy,4/11/2021,"60,461,828","13,193,813",21.82172362
Europe,Germany,3/28/2021,"83,783,945","13,184,590",15.73641585
Europe,United Kingdom,2/8/2021,"67,886,004","13,162,878",19.38967861
South America,Chile,4/18/2021,"19,116,209","13,145,902",68.76835255
South America,Chile,4/17/2021,"19,116,209","13,143,293",68.75470445
North America,Canada,4/29/2021,"37,742,157","13,131,871",34.79364203
South America,Chile,4/16/2021,"19,116,209","13,121,154",68.63889174
Asia,India,2/25/2021,"1,380,004,385","13,067,047",0.946884455
Asia,Turkey,3/21/2021,"84,339,067","13,057,722",15.4824122
Europe,Russia,4/7/2021,"145,934,460","13,047,800",8.940862905
Europe,Spain,4/20/2021,"46,754,783","13,041,032",27.89240194
Asia,Turkey,3/20/2021,"84,339,067","13,029,754",15.44925082
South America,Brazil,3/18/2021,"212,559,409","13,013,331",6.122208874
Europe,Italy,4/10/2021,"60,461,828","12,992,944",21.48949913
Europe,Germany,3/27/2021,"83,783,945","12,988,542",15.50242353
Europe,France,4/6/2021,"68,147,687","12,974,417",19.03867552
South America,Chile,4/15/2021,"19,116,209","12,931,142",67.64490805
North America,Mexico,4/15/2021,"128,932,753","12,912,963",10.01526974
Europe,Spain,4/19/2021,"46,754,783","12,853,599",27.49151675
Asia,Turkey,3/19/2021,"84,339,067","12,844,577",15.22968828
North America,Canada,4/28/2021,"37,742,157","12,826,266",33.98392413
Europe,United Kingdom,2/7/2021,"67,886,004","12,806,587",18.86484142
South America,Chile,4/14/2021,"19,116,209","12,726,095",66.57227382
Europe,Germany,3/26/2021,"83,783,945","12,702,707",15.16126628
South America,Brazil,3/17/2021,"212,559,409","12,682,290",5.966468414
Europe,Italy,4/9/2021,"60,461,828","12,674,978",20.96360368
Europe,France,4/5/2021,"68,147,687","12,653,941",18.56840864
Asia,Indonesia,4/4/2021,"273,523,621","12,649,124",4.624508828
Europe,France,4/4/2021,"68,147,687","12,585,858",18.46850356
North America,Canada,4/27/2021,"37,742,157","12,564,325",33.28989649
Europe,United Kingdom,2/6/2021,"67,886,004","12,526,737",18.45260622
Europe,France,4/3/2021,"68,147,687","12,522,439",18.37544244
South America,Chile,4/13/2021,"19,116,209","12,498,224",65.38024354
Europe,Russia,4/6/2021,"145,934,460","12,474,954",8.54832642
Asia,Turkey,3/18/2021,"84,339,067","12,431,482",14.73988561
North America,Mexico,4/14/2021,"128,932,753","12,407,625",9.623330543
Asia,India,2/24/2021,"1,380,004,385","12,366,633",0.896129979
Europe,Italy,4/8/2021,"60,461,828","12,343,110",20.41471522
Europe,Spain,4/16/2021,"46,754,783","12,330,755",26.37324827
Europe,Germany,3/25/2021,"83,783,945","12,328,984",14.71521065
Europe,France,4/2/2021,"68,147,687","12,322,109",18.08147795
North America,Canada,4/26/2021,"37,742,157","12,307,785",32.61017912
Asia,Indonesia,4/2/2021,"273,523,621","12,292,491",4.494124111
North America,United States,1/15/2021,"331,002,647","12,279,180",3.709692388
South America,Chile,4/12/2021,"19,116,209","12,264,367",64.15689952
North America,Mexico,4/13/2021,"128,932,753","12,252,769",9.503224522
Asia,Indonesia,4/1/2021,"273,523,621","12,226,028",4.469825295
Europe,Russia,4/5/2021,"145,934,460","12,215,342",8.370430123
